Organ_system	Subcategory	ICD10Code	ICD10Description
cancer		C56.9	Malignant neoplasm of unspecified ovary
cancer		C57.00	Malignant neoplasm of unspecified fallopian tube
cancer		C57.01	Malignant neoplasm of right fallopian tube
cancer		C57.02	Malignant neoplasm of left fallopian tube
cancer		C57.11	Malignant neoplasm of right broad ligament
cancer		C57.12	Malignant neoplasm of left broad ligament
cancer		C57.20	Malignant neoplasm of unspecified round ligament
cancer		C57.3	Malignant neoplasm of parametrium
cancer		C57.4	Malignant neoplasm of uterine adnexa, unspecified
cancer		C57.7	Malignant neoplasm of other specified female genital organs
cancer		C57.8	Malignant neoplasm of overlapping sites of female genital organs
cancer		C57.9	Malignant neoplasm of female genital organ, unspecified
cancer		C58.	Malignant neoplasm of placenta
cancer		C60.0	Malignant neoplasm of prepuce
cancer		C60.1	Malignant neoplasm of glans penis
cancer		C60.2	Malignant neoplasm of body of penis
cancer		C60.8	Malignant neoplasm of overlapping sites of penis
cancer		C60.9	Malignant neoplasm of penis, unspecified
cancer		C61.	Malignant neoplasm of prostate
cancer		C62.00	Malignant neoplasm of unspecified undescended testis
cancer		C62.01	Malignant neoplasm of undescended right testis
cancer		C62.02	Malignant neoplasm of undescended left testis
cancer		C62.10	Malignant neoplasm of unspecified descended testis
cancer		C62.11	Malignant neoplasm of descended right testis
cancer		C62.12	Malignant neoplasm of descended left testis
cancer		C62.90	Malignant neoplasm of unspecified testis, unspecified whether descended or undescended
cancer		C62.91	Malignant neoplasm of right testis, unspecified whether descended or undescended
cancer		C62.92	Malignant neoplasm of left testis, unspecified whether descended or undescended
cancer		C63.00	Malignant neoplasm of unspecified epididymis
cancer		C63.01	Malignant neoplasm of right epididymis
cancer		C63.02	Malignant neoplasm of left epididymis
cancer		C63.10	Malignant neoplasm of unspecified spermatic cord
cancer		C63.11	Malignant neoplasm of right spermatic cord
cancer		C63.12	Malignant neoplasm of left spermatic cord
cancer		C63.2	Malignant neoplasm of scrotum
cancer		C63.7	Malignant neoplasm of other specified male genital organs
cancer		C63.8	Malignant neoplasm of overlapping sites of male genital organs
cancer		C63.9	Malignant neoplasm of male genital organ, unspecified
cancer		C64.1	Malignant neoplasm of right kidney, except renal pelvis
cancer		C64.2	Malignant neoplasm of left kidney, except renal pelvis
cancer		C64.9	Malignant neoplasm of unspecified kidney, except renal pelvis
cancer		C65.1	Malignant neoplasm of right renal pelvis
cancer		C65.2	Malignant neoplasm of left renal pelvis
cancer		C65.9	Malignant neoplasm of unspecified renal pelvis
cancer		C66.1	Malignant neoplasm of right ureter
cancer		C66.2	Malignant neoplasm of left ureter
cancer		C66.9	Malignant neoplasm of unspecified ureter
cancer		C67.0	Malignant neoplasm of trigone of bladder
cancer		C67.1	Malignant neoplasm of dome of bladder
cancer		C67.2	Malignant neoplasm of lateral wall of bladder
cancer		C67.3	Malignant neoplasm of anterior wall of bladder
cancer		C67.4	Malignant neoplasm of posterior wall of bladder
cancer		C67.5	Malignant neoplasm of bladder neck
cancer		C67.6	Malignant neoplasm of ureteric orifice
cancer		C67.7	Malignant neoplasm of urachus
cancer		C67.8	Malignant neoplasm of overlapping sites of bladder
cancer		C67.9	Malignant neoplasm of bladder, unspecified
cancer		C68.0	Malignant neoplasm of urethra
cancer		C68.1	Malignant neoplasm of paraurethral glands
cancer		C68.8	Malignant neoplasm of overlapping sites of urinary organs
cancer		C68.9	Malignant neoplasm of urinary organ, unspecified
cancer		C69.00	Malignant neoplasm of unspecified conjunctiva
cancer		C69.01	Malignant neoplasm of right conjunctiva
cancer		C69.02	Malignant neoplasm of left conjunctiva
cancer		C69.10	Malignant neoplasm of unspecified cornea
cancer		C69.11	Malignant neoplasm of right cornea
cancer		C69.12	Malignant neoplasm of left cornea
cancer		C69.20	Malignant neoplasm of unspecified retina
cancer		C69.21	Malignant neoplasm of right retina
cancer		C69.22	Malignant neoplasm of left retina
cancer		C69.30	Malignant neoplasm of unspecified choroid
cancer		C69.31	Malignant neoplasm of right choroid
cancer		C69.32	Malignant neoplasm of left choroid
cancer		C69.40	Malignant neoplasm of unspecified ciliary body
cancer		C69.41	Malignant neoplasm of right ciliary body
cancer		C69.42	Malignant neoplasm of left ciliary body
cancer		C69.50	Malignant neoplasm of unspecified lacrimal gland and duct
cancer		C69.51	Malignant neoplasm of right lacrimal gland and duct
cancer		C69.52	Malignant neoplasm of left lacrimal gland and duct
cancer		C69.60	Malignant neoplasm of unspecified orbit
cancer		C69.61	Malignant neoplasm of right orbit
cancer		C69.62	Malignant neoplasm of left orbit
cancer		C69.80	Malignant neoplasm of overlapping sites of unspecified eye and adnexa
cancer		C69.81	Malignant neoplasm of overlapping sites of right eye and adnexa
cancer		C69.82	Malignant neoplasm of overlapping sites of left eye and adnexa
cancer		C69.90	Malignant neoplasm of unspecified site of unspecified eye
cancer		C69.91	Malignant neoplasm of unspecified site of right eye
cancer		C69.92	Malignant neoplasm of unspecified site of left eye
cancer		C70.0	Malignant neoplasm of cerebral meninges
cancer		C70.1	Malignant neoplasm of spinal meninges
cancer		C70.9	Malignant neoplasm of meninges, unspecified
cancer		C71.0	Malignant neoplasm of cerebrum, except lobes and ventricles
cancer		C71.1	Malignant neoplasm of frontal lobe
cancer		C71.2	Malignant neoplasm of temporal lobe
cancer		C71.3	Malignant neoplasm of parietal lobe
cancer		C71.4	Malignant neoplasm of occipital lobe
cancer		C71.5	Malignant neoplasm of cerebral ventricle
cancer		C71.6	Malignant neoplasm of cerebellum
cancer		C71.7	Malignant neoplasm of brain stem
cancer		C71.8	Malignant neoplasm of overlapping sites of brain
cancer		C71.9	Malignant neoplasm of brain, unspecified
cancer		C72.0	Malignant neoplasm of spinal cord
cancer		C72.1	Malignant neoplasm of cauda equina
cancer		C72.20	Malignant neoplasm of unspecified olfactory nerve
cancer		C72.21	Malignant neoplasm of right olfactory nerve
cancer		C72.30	Malignant neoplasm of unspecified optic nerve
cancer		C72.31	Malignant neoplasm of right optic nerve
cancer		C72.32	Malignant neoplasm of left optic nerve
cancer		C72.40	Malignant neoplasm of unspecified acoustic nerve
cancer		C72.41	Malignant neoplasm of right acoustic nerve
cancer		C72.42	Malignant neoplasm of left acoustic nerve
cancer		C72.50	Malignant neoplasm of unspecified cranial nerve
cancer		C72.59	Malignant neoplasm of other cranial nerves
cancer		C72.9	Malignant neoplasm of central nervous system, unspecified
cancer		C73.	Malignant neoplasm of thyroid gland
cancer		C74.00	Malignant neoplasm of cortex of unspecified adrenal gland
cancer		C74.01	Malignant neoplasm of cortex of right adrenal gland
cancer		C74.02	Malignant neoplasm of cortex of left adrenal gland
cancer		C74.10	Malignant neoplasm of medulla of unspecified adrenal gland
cancer		C74.11	Malignant neoplasm of medulla of right adrenal gland
cancer		C74.12	Malignant neoplasm of medulla of left adrenal gland
cancer		C74.90	Malignant neoplasm of unspecified part of unspecified adrenal gland
cancer		C74.91	Malignant neoplasm of unspecified part of right adrenal gland
cancer		C74.92	Malignant neoplasm of unspecified part of left adrenal gland
cancer		C75.0	Malignant neoplasm of parathyroid gland
cancer		C75.1	Malignant neoplasm of pituitary gland
cancer		C75.2	Malignant neoplasm of craniopharyngeal duct
cancer		C75.3	Malignant neoplasm of pineal gland
cancer		C75.4	Malignant neoplasm of carotid body
cancer		C75.5	Malignant neoplasm of aortic body and other paraganglia
cancer		C75.8	Malignant neoplasm with pluriglandular involvement, unspecified
cancer		C75.9	Malignant neoplasm of endocrine gland, unspecified
cancer		C76.0	Malignant neoplasm of head, face and neck
cancer		C76.1	Malignant neoplasm of thorax
cancer		C76.2	Malignant neoplasm of abdomen
cancer		C76.3	Malignant neoplasm of pelvis
cancer		C76.40	Malignant neoplasm of unspecified upper limb
cancer		C76.41	Malignant neoplasm of right upper limb
cancer		C76.42	Malignant neoplasm of left upper limb
cancer		C76.50	Malignant neoplasm of unspecified lower limb
cancer		C76.51	Malignant neoplasm of right lower limb
cancer		C76.52	Malignant neoplasm of left lower limb
cancer		C76.8	Malignant neoplasm of other specified ill-defined sites
cancer		C77.0	Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck
cancer		C77.1	Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
cancer		C77.2	Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
cancer		C77.3	Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
cancer		C77.4	Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
cancer		C77.5	Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
cancer		C77.8	Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions
cancer		C77.9	Secondary and unspecified malignant neoplasm of lymph node, unspecified
cancer		C78.00	Secondary malignant neoplasm of unspecified lung
cancer		C78.01	Secondary malignant neoplasm of right lung
cancer		C78.02	Secondary malignant neoplasm of left lung
cancer		C78.1	Secondary malignant neoplasm of mediastinum
cancer		C78.2	Secondary malignant neoplasm of pleura
cancer		C78.30	Secondary malignant neoplasm of unspecified respiratory organ
cancer		C78.39	Secondary malignant neoplasm of other respiratory organs
cancer		C78.4	Secondary malignant neoplasm of small intestine
cancer		C78.5	Secondary malignant neoplasm of large intestine and rectum
cancer		C78.6	Secondary malignant neoplasm of retroperitoneum and peritoneum
cancer		C78.7	Secondary malignant neoplasm of liver and intrahepatic bile duct
cancer		C78.80	Secondary malignant neoplasm of unspecified digestive organ
cancer		C78.89	Secondary malignant neoplasm of other digestive organs
cancer		C79.00	Secondary malignant neoplasm of unspecified kidney and renal pelvis
cancer		C79.01	Secondary malignant neoplasm of right kidney and renal pelvis
cancer		C79.02	Secondary malignant neoplasm of left kidney and renal pelvis
cancer		C79.10	Secondary malignant neoplasm of unspecified urinary organs
cancer		C79.11	Secondary malignant neoplasm of bladder
cancer		C79.19	Secondary malignant neoplasm of other urinary organs
cancer		C79.2	Secondary malignant neoplasm of skin
cancer		C79.31	Secondary malignant neoplasm of brain
cancer		C79.32	Secondary malignant neoplasm of cerebral meninges
cancer		C79.40	Secondary malignant neoplasm of unspecified part of nervous system
cancer		C79.49	Secondary malignant neoplasm of other parts of nervous system
cancer		C79.51	Secondary malignant neoplasm of bone
cancer		C79.52	Secondary malignant neoplasm of bone marrow
cancer		C79.60	Secondary malignant neoplasm of unspecified ovary
cancer		C79.61	Secondary malignant neoplasm of right ovary
cancer		C79.62	Secondary malignant neoplasm of left ovary
cancer		C79.70	Secondary malignant neoplasm of unspecified adrenal gland
cancer		C79.71	Secondary malignant neoplasm of right adrenal gland
cancer		C79.72	Secondary malignant neoplasm of left adrenal gland
cancer		C79.81	Secondary malignant neoplasm of breast
cancer		C79.82	Secondary malignant neoplasm of genital organs
cancer		C79.89	Secondary malignant neoplasm of other specified sites
cancer		C79.9	Secondary malignant neoplasm of unspecified site
cancer		C7A.00	Malignant carcinoid tumor of unspecified site
cancer		C7A.010	Malignant carcinoid tumor of the duodenum
cancer		C7A.011	Malignant carcinoid tumor of the jejunum
cancer		C7A.012	Malignant carcinoid tumor of the ileum
cancer		C7A.019	Malignant carcinoid tumor of the small intestine, unspecified portion
cancer		C7A.020	Malignant carcinoid tumor of the appendix
cancer		C7A.021	Malignant carcinoid tumor of the cecum
cancer		C7A.022	Malignant carcinoid tumor of the ascending colon
cancer		C7A.023	Malignant carcinoid tumor of the transverse colon
cancer		C7A.024	Malignant carcinoid tumor of the descending colon
cancer		C7A.025	Malignant carcinoid tumor of the sigmoid colon
cancer		C7A.026	Malignant carcinoid tumor of the rectum
cancer		C7A.029	Malignant carcinoid tumor of the large intestine, unspecified portion
cancer		C7A.090	Malignant carcinoid tumor of the bronchus and lung
cancer		C7A.091	Malignant carcinoid tumor of the thymus
cancer		C7A.092	Malignant carcinoid tumor of the stomach
cancer		C7A.093	Malignant carcinoid tumor of the kidney
cancer		C7A.094	Malignant carcinoid tumor of the foregut, unspecified
cancer		C7A.094	MALIGNANT CARCINOID TUMOR OF THE FOREGUT NOS
cancer		C7A.095	MALIGNANT CARCINOID TUMOR OF THE MIDGUT NOS
cancer		C7A.095	Malignant carcinoid tumor of the midgut, unspecified
cancer		C7A.096	Malignant carcinoid tumor of the hindgut, unspecified
cancer		C7A.096	MALIGNANT CARCINOID TUMOR OF THE HINDGUT NOS
cancer		C7A.098	Malignant carcinoid tumors of other sites
cancer		C7A.1	Malignant poorly differentiated neuroendocrine tumors
cancer		C7A.8	Other malignant neuroendocrine tumors
cancer		C7B.00	Secondary carcinoid tumors, unspecified site
cancer		C7B.01	Secondary carcinoid tumors of distant lymph nodes
cancer		C7B.02	Secondary carcinoid tumors of liver
cancer		C7B.03	Secondary carcinoid tumors of bone
cancer		C7B.04	Secondary carcinoid tumors of peritoneum
cancer		C7B.09	Secondary carcinoid tumors of other sites
